Player,Team,draft_year,draft_round,draft_number
Anfernee Hardaway,ORL,1993,1,3
Anthony Goldwire,DEN,1994,2,52
Anthony Mason,CHH,1988,3,53
Anthony Miller,ATL,1994,2,39
Anthony Peeler,VAN,1992,1,15
Antoine Carr,UTA,1983,1,8
Antoine Walker,BOS,1996,1,6
Antonio Davis,IND,1990,2,45
Antonio Harvey,SEA,Undrafted,Undrafted,Undrafted
Amal McCaskill,ORL,1996,2,49
Bruce Bowen,MIA,Undrafted,Undrafted,Undrafted
Bryant Reeves,VAN,1995,1,6
Bryant Stith,DEN,1992,1,13
Clifford Robinson,POR,1989,2,36
Clifford Rozier,TOR,1994,1,16
Clyde Drexler,HOU,1983,1,14
Corie Blount,LAL,1993,1,25
Corliss Williamson,SAC,1995,1,13
Cory Alexander,SAS,1995,1,29
Craig Ehlo,SEA,1983,3,48
Cuonzo Martin,MIL,1995,2,57
Dale Davis,IND,1991,1,13
Dale Ellis,DEN,1983,1,9
Damon Stoudamire,TOR,1995,1,7
Clar. Weatherspoon,PHI,1992,1,9
Dan Majerle,MIA,1988,1,14
Dana Barros,BOS,1989,1,16
Danny Ferry,CLE,1989,1,2
Danny Manning,PHX,1988,1,1
Darrell Armstrong,ORL,Undrafted,Undrafted,Undrafted
Darrick Martin,LAC,Undrafted,Undrafted,Undrafted
Darrin Hancock,ATL,1994,2,38
Darvin Ham,IND,Undrafted,Undrafted,Undrafted
David Robinson,SAS,1987,1,1
David Vaughn,ORL,1995,1,25
David Wesley,BOS,Undrafted,Undrafted,Undrafted
David Wingate,SEA,1986,2,44
Dan Schayes,ORL,1981,1,13
Jerome Allen,DEN,1995,2,49
Chucky Brown,MIL,1989,2,43
Chris Whitney,WAS,1993,2,47
Bryon Russell,UTA,1993,2,45
Buck Williams,NYK,1981,1,3
Byron Scott,LAL,1983,1,4
Calbert Cheaney,WAS,1993,1,6
Carl Herrera,SAS,1990,2,30
Carl Thomas,CLE,Undrafted,Undrafted,Undrafted
Carlos Rogers,TOR,1994,1,11
Cedric Ceballos,PHX,1990,2,48
Charles Barkley,HOU,1984,1,5
Charles Jones,HOU,1979,8,165
Charles Oakley,NYK,1985,1,9
Christian Laettner,ATL,1992,1,3
Charles Smith,SAS,1988,1,3
Cherokee Parks,MIN,1995,1,12
Chris Carr,MIN,1995,2,56
Chris Childs,NYK,Undrafted,Undrafted,Undrafted
Chris Dudley,POR,1987,4,75
Chris Gatling,NJN,1991,1,16
Chris Jent,NYK,Undrafted,Undrafted,Undrafted
Chris Mills,CLE,1993,1,22
Chris Morris,UTA,1988,1,4
Chris Mullin,GSW,1985,1,7
Chris Robinson,VAN,1996,2,51
Chris Webber,WAS,1993,1,1
Charlie Ward,NYK,1994,1,26
Jerome Kersey,LAL,1984,2,46
Fred Hoiberg,IND,1995,2,52
Jerry Stackhouse,PHI,1995,1,3
Rumeal Robinson,POR,1990,1,10
Sam Cassell,NJN,1993,1,24
Sam Mack,HOU,Undrafted,Undrafted,Undrafted
Sam Mitchell,MIN,1985,3,54
Sam Perkins,SEA,1984,1,4
Samaki Walker,DAL,1996,1,9
Sarunas Marciulionis,DEN,1987,6,127
