,Player,Tm,season17_18
157,Ed Davis,POR,6352531.0
158,Ekpe Udoh,UTA,3200000.0
159,Elfrid Payton,PHO,3332340.0
160,Emeka Okafor,NOP,239204.0
161,Emmanuel Mudiay,NYK,3381480.0
162,Enes Kanter,NYK,20566802.0
163,Eric Bledsoe,MIL,14500000.0
164,Eric Gordon,HOU,12943020.0
165,Eric Griffin,UTA,50000.0
166,Eric Moreland,DET,1739333.0
167,Ersan Ilyasova,ATL,6000000.0
168,Ersan Ilyasova,PHI,502328.0
169,Evan Fournier,ORL,17000000.0
170,Evan Turner,POR,17131148.0
171,Festus Ezeli,POR,333334.0
172,Frank Jackson,NOP,815615.0
173,Frank Kaminsky,CHO,2847600.0
174,Frank Mason,SAC,1184385.0
175,Frank Ntilikina,NYK,3501120.0
176,Fred VanVleet,TOR,1312611.0
177,Furkan Korkmaz,PHI,1465920.0
178,Gal Mekel,DAL,315760.0
179,Garrett Temple,SAC,8000000.0
180,Gary Harris,DEN,2550055.0
181,Gary Payton,MIL,50000.0
182,George Hill,CLE,20000000.0
183,Georges Niang,IND,100000.0
184,Georgios Papagiannis,POR,74159.0
185,Georgios Papagiannis,SAC,2301360.0
186,Gerald Green,HOU,947248.0
187,Gerald Henderson,PHI,1000000.0
188,Gian Clavell,DAL,50000.0
189,Giannis Antetokounmpo,MIL,22471910.0
190,Glenn Robinson,IND,1524305.0
191,Goran Dragic,MIA,17000450.0
192,Gordon Hayward,BOS,29727900.0
193,Gorgui Dieng,MIN,14112360.0
194,Greg Monroe,BOS,5000000.0
195,Greg Monroe,PHO,17884176.0
196,Guerschon Yabusele,BOS,2247480.0
197,Harrison Barnes,DAL,23112004.0
198,Harry Giles,SAC,1859400.0
199,Hassan Whiteside,MIA,23775506.0
200,Henry Ellenson,DET,1780800.0
201,Ian Clark,NOP,1577230.0
202,Ian Mahinmi,WAS,16661641.0
203,Ike Anigbogu,IND,950000.0
204,Iman Shumpert,SAC,10337079.0
205,Isaiah Canaan,CHI,200000.0
206,Isaiah Canaan,HOU,53465.0
207,Isaiah Canaan,PHO,1069308.0
208,Isaiah Taylor,ATL,1312611.0
209,Isaiah Thomas,LAL,6261395.0
210,Isaiah Whitehead,BRK,1312611.0
211,Ish Smith,DET,6000000.0
212,Ivan Rabb,MEM,950000.0
213,Ivica Zubac,LAL,1312611.0
214,J.J. Barea,DAL,3903900.0
215,J.J. Redick,PHI,23000000.0
216,J.R. Smith,CLE,13760000.0
217,JaMychal Green,MEM,8533333.0
218,JaVale McGee,GSW,2116955.0
219,Jabari Parker,MIL,6782392.0
220,Jacob Pullen,PHI,50000.0
221,Jae Crowder,UTA,6796117.0
222,Jahlil Okafor,BRK,4995120.0
223,Jake Layman,POR,1312611.0
224,Jakob Poeltl,TOR,2825640.0
225,Jalen Moore,MIL,50000.0
226,Jamal Crawford,ATL,10942762.0
227,Jamal Crawford,MIN,4328000.0
228,Jamal Murray,DEN,3355320.0
229,Jameel Warney,DAL,46080.0
230,Jameer Nelson,DEN,4736050.0
231,Jameer Nelson,DET,2262871.0
232,James Ennis,DET,3028410.0
233,James Harden,HOU,28299399.0
234,James Johnson,MIA,13954000.0
235,James Michael McAdoo,PHI,50000.0
236,Jamil Wilson,LAC,50000.0
