,players,teams,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
3099,Juwan Howard,POR,37.0,205.74,114.758776,73.0,6.0,4.6,0.8,-1.1,0.08,0.18,0.14300000000000002,0.5379999999999999,0.062
3100,Juwan Howard,WAS,25.5,205.74,112.26402000000002,66.0,17.875,7.225,3.275,-1.525,0.06725,0.15,0.23424999999999999,0.51275,0.14300000000000002
3101,Juwan Morgan,UTA,22.0,200.66,105.23334399999999,16.0,1.2,1.2,0.1,14.4,0.068,0.161,0.109,0.5589999999999999,0.032
3102,KJ McDaniels,BKN,24.0,198.12,92.98635999999999,49.0,4.2,1.7,0.3,-3.1,0.033,0.14300000000000002,0.185,0.555,0.04
3103,KJ McDaniels,HOU,22.5,198.12,92.98635999999999,49.5,5.15,2.1500000000000004,0.75,5.1499999999999995,0.0635,0.10850000000000001,0.19,0.508,0.077
3104,KZ Okpala,MIA,20.0,203.2,97.52228000000001,5.0,1.4,1.0,0.2,-31.7,0.038,0.16,0.102,0.595,0.077
3105,Kadeem Allen,BOS,25.0,190.5,90.7184,18.0,1.1,0.6,0.7,-8.4,0.034,0.067,0.132,0.366,0.16699999999999998
3106,Kadeem Allen,NYK,26.5,187.95999999999998,90.7184,14.5,7.45,1.8,3.05,-7.1,0.0175,0.0825,0.193,0.5429999999999999,0.268
3107,Kalin Lucas,DET,30.0,185.42,88.45044,1.0,2.0,3.0,1.0,-25.0,0.0,0.5,0.154,0.532,0.5
3108,Kalin Lucas,MEM,26.0,185.42,84.368112,1.0,0.0,0.0,0.0,-39.6,0.0,0.0,0.063,0.0,0.0
3109,Kaniel Dickens,CLE,29.0,203.2,97.52228000000001,5.0,0.4,0.2,0.2,0.8,0.0,0.111,0.125,0.33299999999999996,0.16699999999999998
3110,Kaniel Dickens,NJN,26.0,203.2,97.52228000000001,11.0,1.2,0.8,0.1,-31.3,0.079,0.14300000000000002,0.145,0.43700000000000006,0.036000000000000004
3111,Kaniel Dickens,POR,25.0,203.2,97.52228000000001,3.0,2.3,0.7,0.0,-23.2,0.16699999999999998,0.0,0.151,0.902,0.0
3112,Kareem Rush,CHA,24.5,198.12,97.52228000000001,47.5,9.25,2.05,1.25,-7.55,0.019500000000000003,0.09,0.2225,0.47100000000000003,0.1
3113,Kareem Rush,IND,27.0,198.12,97.52228000000001,71.0,8.3,2.4,1.3,-2.5,0.013000000000000001,0.113,0.188,0.5,0.09699999999999999
3114,Kareem Rush,LAC,29.0,198.12,97.52228000000001,7.0,1.3,0.9,0.6,-3.0,0.021,0.1,0.113,0.409,0.105
3115,Kareem Rush,LAL,22.5,198.12,97.52228000000001,74.0,4.7,1.25,0.8500000000000001,-2.3,0.025500000000000002,0.082,0.1735,0.476,0.0995
3116,Kareem Rush,PHI,28.0,198.12,97.52228000000001,25.0,2.2,0.6,0.6,-5.6,0.0,0.09,0.153,0.452,0.111
3117,Karl Malone,LAL,40.0,205.74,117.480328,42.0,13.2,8.7,3.9,8.1,0.051,0.237,0.193,0.555,0.185
3118,Karl Malone,UTA,36.0,205.74,116.119552,76.57142857142857,24.271428571428572,9.114285714285716,4.242857142857143,7.128571428571427,0.06857142857142857,0.2307142857142857,0.30414285714285716,0.5705714285714285,0.22014285714285714
3119,Karl-Anthony Towns,MIN,22.0,212.852,111.7650688,71.6,23.119999999999997,11.66,2.98,0.4999999999999999,0.09459999999999999,0.26339999999999997,0.2608,0.6235999999999999,0.14379999999999998
3120,Kasib Powell,MIA,27.0,200.66,97.52228000000001,11.0,7.6,4.0,1.6,-12.5,0.031,0.139,0.172,0.424,0.129
3121,Kawhi Leonard,LAC,28.0,200.66,102.0582,49.0,26.9,7.5,5.1,11.5,0.031,0.183,0.331,0.5820000000000001,0.267
3122,Kawhi Leonard,SAS,24.0,200.66000000000003,103.67817142857142,58.142857142857146,16.0,5.971428571428572,2.2285714285714286,9.1,0.04714285714285714,0.17528571428571427,0.22814285714285717,0.5902857142857142,0.12442857142857143
3123,Kawhi Leonard,TOR,28.0,200.66,104.32616,60.0,26.6,7.3,3.3,7.9,0.039,0.165,0.3,0.606,0.159
3124,Kay Felder,CLE,22.0,175.26,79.832192,42.0,4.0,1.0,1.4,-5.5,0.009000000000000001,0.10300000000000001,0.251,0.462,0.261
3125,Kay Felder,DET,23.0,175.26,79.832192,16.0,3.6,1.1,1.3,-15.1,0.019,0.10800000000000001,0.28,0.379,0.247
3126,Kebu Stewart,PHI,24.0,203.2,108.40848799999999,15.0,2.7,2.1,0.1,11.7,0.087,0.212,0.17300000000000001,0.541,0.03
3127,Kedrick Brown,BOS,21.5,200.66,100.697424,40.0,2.5,2.2,0.45,-2.05,0.059000000000000004,0.165,0.153,0.396,0.077
3128,Kedrick Brown,CLE,23.0,200.66,100.697424,55.0,5.3,2.7,1.2,3.3,0.049,0.122,0.139,0.5429999999999999,0.106
3129,Kedrick Brown,PHI,24.0,200.66,100.697424,8.0,1.5,1.4,0.5,-26.4,0.022000000000000002,0.22699999999999998,0.11900000000000001,0.5770000000000001,0.154
3130,Keita Bates-Diop,DEN,24.0,203.2,103.872568,39.0,6.6,2.9,0.8,-10.7,0.027000000000000003,0.129,0.155,0.541,0.073
3131,Keita Bates-Diop,MIN,23.0,205.74,103.872568,30.0,5.0,2.8,0.6,-5.1,0.028999999999999998,0.129,0.14,0.489,0.047
3132,Keith Appling,ORL,24.0,185.42,83.91452,5.0,1.2,0.2,0.2,20.3,0.0,0.042,0.201,0.33799999999999997,0.059000000000000004
3133,Keith Askins,MIA,30.0,203.19999999999996,100.243832,52.333333333333336,2.966666666666667,2.3333333333333335,0.6333333333333334,7.066666666666666,0.04633333333333334,0.11566666666666665,0.10266666666666668,0.4623333333333333,0.057
3134,Keith Benson,GSW,23.0,210.82,104.32616,3.0,0.0,1.0,0.0,44.1,0.25,0.1,0.05,0.0,0.0
3135,Keith Bogans,BKN,33.0,195.58,97.52228000000001,74.0,4.2,1.6,1.0,-0.2,0.013000000000000001,0.086,0.113,0.5329999999999999,0.084
3136,Keith Bogans,BOS,34.0,195.58,97.52228000000001,6.0,2.0,0.5,0.5,-9.2,0.0,0.07,0.065,0.82,0.08800000000000001
3137,Keith Bogans,CHA,25.0,195.58,97.52228000000001,74.0,9.6,3.1,1.8,-7.2,0.046,0.10300000000000001,0.218,0.465,0.124
3138,Keith Bogans,CHI,31.0,195.58,97.52228000000001,82.0,4.4,1.8,1.2,5.7,0.016,0.105,0.115,0.5589999999999999,0.098
3139,Keith Bogans,HOU,26.0,195.58,97.52228000000001,72.0,8.6,3.5,1.8,-5.5,0.034,0.12300000000000001,0.174,0.49700000000000005,0.11699999999999999
3140,Keith Bogans,MIL,29.0,195.58,97.52228000000001,65.0,5.6,3.1,1.0,3.5,0.027000000000000003,0.153,0.138,0.521,0.077
3141,Keith Bogans,NJN,32.0,195.58,97.52228000000001,5.0,4.2,2.2,0.6,-19.7,0.059000000000000004,0.081,0.135,0.45299999999999996,0.057999999999999996
3142,Keith Bogans,ORL,26.333333333333332,195.58,97.52228000000001,71.33333333333333,6.866666666666666,3.0333333333333337,1.2,-0.06666666666666643,0.036666666666666674,0.115,0.14666666666666667,0.5346666666666666,0.084
3143,Keith Bogans,SAS,30.0,195.58,97.52228000000001,79.0,4.4,2.2,1.2,1.9,0.02,0.111,0.11,0.542,0.086
3144,Keith Booth,CHI,23.5,198.12,102.511792,22.5,2.4,1.5499999999999998,0.6,-14.15,0.0835,0.15949999999999998,0.23149999999999998,0.46649999999999997,0.1245
3145,Keith Closs,LAC,23.0,220.98,96.161504,43.333333333333336,3.4333333333333336,2.5666666666666664,0.2333333333333333,-9.733333333333334,0.082,0.20033333333333334,0.15766666666666665,0.5266666666666667,0.029666666666666664
3146,Keith Langford,SAS,24.0,193.04,97.52228000000001,2.0,1.0,1.0,0.0,35.9,0.0,0.154,0.18,0.25,0.0
3147,Keith McLeod,IND,27.0,187.96,86.18248,48.0,4.8,0.9,1.9,-2.2,0.006,0.063,0.163,0.52,0.184
3148,Keith McLeod,MIN,24.0,187.96,86.18248,33.0,2.7,1.0,1.8,-6.4,0.017,0.083,0.16399999999999998,0.436,0.258
3149,Keith McLeod,UTA,25.5,187.96,86.18248,59.5,6.699999999999999,1.65,3.4,-5.65,0.014000000000000002,0.07800000000000001,0.1855,0.45199999999999996,0.25049999999999994
