Player,teams,PER
Giannis Antetokounmpo,MIL,27.3
Glenn Robinson,IND,10.8
Goran Dragic,MIA,16.6
Gordon Hayward,BOS,7.3
Gorgui Dieng,MIN,14.7
Greg Monroe,BOS,23.0
Greg Monroe,MIL,11.1
Greg Monroe,PHO,21.0
Greg Monroe,TOT,21.2
Guerschon Yabusele,BOS,12.3
Harrison Barnes,DAL,15.8
Hassan Whiteside,MIA,24.1
Henry Ellenson,DET,10.5
Ian Clark,NOP,9.4
Ian Mahinmi,WAS,12.2
Ike Anigbogu,IND,21.6
Iman Shumpert,CLE,6.4
Isaiah Canaan,HOU,-7.3
Isaiah Canaan,PHO,13.7
Isaiah Canaan,TOT,13.5
Isaiah Hicks,NYK,6.8
Isaiah Taylor,ATL,10.9
Isaiah Thomas,CLE,12.3
Isaiah Thomas,LAL,12.8
Isaiah Thomas,TOT,12.6
Isaiah Whitehead,BRK,11.5
Ish Smith,DET,15.4
Ivan Rabb,MEM,16.6
Ivica Zubac,LAL,15.3
J.J. Barea,DAL,17.8
J.J. Redick,PHI,15.9
J.R. Smith,CLE,8.5
JaKarr Sampson,SAC,13.9
JaMychal Green,MEM,14.0
JaVale McGee,GSW,22.3
Jabari Bird,BOS,12.1
Jabari Parker,MIL,17.1
Jack Cooley,SAC,19.7
Jacob Pullen,PHI,-2.3
Jacob Wiley,BRK,8.2
Jae Crowder,CLE,10.2
Jae Crowder,TOT,10.4
Jae Crowder,UTA,10.8
Jahlil Okafor,BRK,15.8
Jahlil Okafor,PHI,8.8
Jahlil Okafor,TOT,15.3
Jake Layman,POR,4.9
Jakob Poeltl,TOR,17.5
Jalen Jones,DAL,10.9
Jalen Jones,NOP,5.0
Jalen Jones,TOT,10.3
Jamal Crawford,MIN,13.0
Jamal Murray,DEN,16.1
Jameel Warney,DAL,22.6
Jameer Nelson,DET,2.6
Jameer Nelson,NOP,8.9
Jameer Nelson,TOT,8.1
Jamel Artis,ORL,6.9
James Ennis,DET,11.2
James Ennis,MEM,11.9
James Ennis,TOT,11.6
James Harden,HOU,29.8
James Johnson,MIA,15.8
James Michael McAdoo,PHI,7.4
James Webb,BRK,2.2
James Young,PHI,4.6
Jamil Wilson,LAC,11.4
Jared Dudley,PHO,8.8
Jarell Eddie,BOS,4.0
Jarell Eddie,CHI,-13.5
Jarell Eddie,TOT,-1.9
Jarell Martin,MEM,10.5
Jarrett Allen,BRK,17.5
Jarrett Jack,NYK,11.5
Jason Smith,WAS,8.8
Jason Terry,MIL,8.1
Jawun Evans,LAC,7.2
Jaylen Brown,BOS,13.6
Jaylen Morris,ATL,6.5
Jayson Tatum,BOS,15.3
Jeff Green,CLE,14.8
Jeff Teague,MIN,16.4
Jeff Withey,DAL,8.3
Jerami Grant,OKC,16.2
Jeremy Evans,ATL,10.4
Jeremy Lamb,CHO,17.0
Jeremy Lin,BRK,15.9
Jerian Grant,CHI,14.3
Jerryd Bayless,PHI,7.5
Jimmy Butler,MIN,23.7
Joakim Noah,NYK,15.6
Jodie Meeks,WAS,12.4
Joe Harris,BRK,13.3
Joe Ingles,UTA,14.4
Joe Johnson,HOU,6.8
Joe Johnson,TOT,8.1
Joe Johnson,UTA,9.0
Joe Young,IND,10.1
Joel Bolomboy,MIL,11.7
Joel Embiid,PHI,22.9
Joffrey Lauvergne,SAS,16.5
John Collins,ATL,18.3
John Henson,MIL,15.7
John Holland,CLE,5.9
John Wall,WAS,19.1
Johnathan Motley,DAL,17.2
Johnny O'Bryant,CHO,11.9
Jon Leuer,DET,8.9
Jonas Jerebko,UTA,13.2
Jonas Valanciunas,TOR,22.5
Jonathan Gibson,BOS,25.4
Jonathan Isaac,ORL,9.8
Jonathon Simmons,ORL,12.7
Jordan Bell,GSW,18.0
Jordan Clarkson,CLE,15.4
Jordan Clarkson,LAL,16.9
Jordan Clarkson,TOT,16.4
Jordan Crawford,NOP,19.1
Jordan Mickey,MIA,10.6
Jose Calderon,CLE,11.3
Josh Gray,PHO,7.2
Josh Hart,LAL,12.2
Josh Huestis,OKC,5.4
Josh Jackson,PHO,11.8
Josh Magette,ATL,11.9
Josh McRoberts,DAL,-12.5
Josh Richardson,MIA,13.6
Josh Smith,NOP,3.5
Jrue Holiday,NOP,17.8
Juan Hernangomez,DEN,9.7
Julius Randle,LAL,19.9
Julyan Stone,CHO,7.6
Justin Anderson,PHI,13.0
Justin Holiday,CHI,10.8
Justin Jackson,SAC,9.2
Justin Patton,MIN,19.8
Justise Winslow,MIA,11.5
Jusuf Nurkic,POR,19.2
Kadeem Allen,BOS,2.6
Karl-Anthony Towns,MIN,24.9
Kawhi Leonard,SAS,26.0
Kay Felder,CHI,3.6
Kay Felder,DET,2.0
Kay Felder,TOT,3.6
Kelly Olynyk,MIA,17.8
Kelly Oubre,WAS,11.9
Kemba Walker,CHO,20.6
Kendrick Perkins,CLE,8.4
Kenneth Faried,DEN,17.4
Kent Bazemore,ATL,14.5
Kentavious Caldwell-Pope,LAL,13.2
Kevin Durant,GSW,26.0
Kevin Love,CLE,22.4
Kevon Looney,GSW,14.8
Khem Birch,ORL,16.4
Khris Middleton,MIL,17.4
Klay Thompson,GSW,16.1
Kobi Simmons,MEM,7.7
Kosta Koufos,SAC,17.5
Kris Dunn,CHI,14.5
Kristaps Porzingis,NYK,20.4
Kyle Anderson,SAS,15.9
Kyle Collinsworth,DAL,10.0
Kyle Korver,CLE,13.4
Kyle Kuzma,LAL,14.2
Kyle Lowry,TOR,19.5
Kyle O'Quinn,NYK,20.0
Kyle Singler,OKC,5.9
Kyrie Irving,BOS,25.0
LaMarcus Aldridge,SAS,25.0
Lance Stephenson,IND,12.4
Lance Thomas,NYK,6.3
Langston Galloway,DET,12.2
Larry Drew,NOP,6.3
Larry Drew,PHI,-9.4
Larry Drew,TOT,2.9
Larry Nance,CLE,21.5
Larry Nance,LAL,19.4
Larry Nance,TOT,20.2
Lauri Markkanen,CHI,15.6
LeBron James,CLE,28.6
London Perrantes,CLE,0.7
Lonzo Ball,LAL,12.5
Lorenzo Brown,TOR,8.2
Lou Williams,LAC,20.2
Luc Mbah a Moute,HOU,10.2
Lucas Nogueira,TOR,17.3
Luis Montero,DET,-15.5
Luke Babbitt,ATL,12.0
Luke Babbitt,MIA,1.3
Luke Babbitt,TOT,9.8
Luke Kennard,DET,12.1
Luke Kornet,NYK,13.6
Luol Deng,LAL,5.5
Malachi Richardson,SAC,5.8
Malachi Richardson,TOR,10.5
Malachi Richardson,TOT,5.9
Malcolm Brogdon,MIL,14.3
Malcolm Delaney,ATL,10.6
Malcolm Miller,TOR,8.9
Malik Beasley,DEN,9.0
Malik Monk,CHO,10.3
Mangok Mathiang,CHO,18.0
Manu Ginobili,SAS,12.9
MarShon Brooks,MEM,26.1
Marc Gasol,MEM,17.4
Marcin Gortat,WAS,14.7
Marco Belinelli,ATL,14.1
Marco Belinelli,PHI,14.2
Marco Belinelli,TOT,14.1
Marcus Georges-Hunt,MIN,6.9
Marcus Morris,BOS,14.5
Marcus Paige,CHO,9.1
Marcus Smart,BOS,10.8
Mario Chalmers,MEM,10.4
Mario Hezonja,ORL,13.7
Markel Brown,HOU,-1.2
Markelle Fultz,PHI,12.4
Markieff Morris,WAS,13.2
Marquese Chriss,PHO,11.1
Marquis Teague,MEM,5.7
Marreese Speights,ORL,13.7
Marshall Plumlee,MIL,10.9
Marvin Williams,CHO,13.9
Mason Plumlee,DEN,16.9
Matt Costello,SAS,9.7
Matt Williams,MIA,-0.7
Matthew Dellavedova,MIL,8.6
Maurice Harkless,POR,12.6
Maxi Kleber,DAL,13.4
Meyers Leonard,POR,17.8
Michael Beasley,NYK,17.8
Michael Carter-Williams,CHO,10.8
Michael Kidd-Gilchrist,CHO,12.5
Mike Conley,MEM,15.4
Mike James,NOP,3.5
Mike James,PHO,14.2
Mike James,TOT,13.9
Mike Muscala,ATL,14.4
Mike Scott,WAS,13.7
Miles Plumlee,ATL,10.6
Milos Teodosic,LAC,11.6
Milton Doyle,BRK,5.2
Mindaugas Kuzminskas,NYK,-41.1
Mirza Teletovic,MIL,13.5
Monte Morris,DEN,27.1
Montrezl Harrell,LAC,24.7
Myke Henry,MEM,9.7
Myles Turner,IND,16.6
Nate Wolters,UTA,-2.9
Naz Mitrou-Long,UTA,133.8
Nemanja Bjelica,MIN,12.6
Nene Hilario,HOU,16.4
Nerlens Noel,DAL,16.2
Nick Collison,OKC,13.2
Nick Young,GSW,10.0
Nicolas Batum,CHO,14.4
Nicolas Brussino,ATL,-4.6
Nigel Hayes,LAL,9.8
Nigel Hayes,SAC,4.4
Nigel Hayes,TOR,34.9
Nigel Hayes,TOT,6.4
Nik Stauskas,BRK,9.8
Nik Stauskas,PHI,0.9
Nik Stauskas,TOT,9.0
Nikola Jokic,DEN,24.4
Nikola Mirotic,CHI,22.0
Nikola Mirotic,NOP,16.3
Nikola Mirotic,TOT,18.7
Nikola Vucevic,ORL,19.7
Noah Vonleh,CHI,13.9
Noah Vonleh,POR,12.0
Noah Vonleh,TOT,12.8
Norman Powell,TOR,8.5
OG Anunoby,TOR,10.0
Okaro White,MIA,8.9
Omari Johnson,MEM,10.5
Omer Asik,CHI,0.2
Omer Asik,NOP,4.5
Omer Asik,TOT,3.1
Omri Casspi,GSW,15.5
Otto Porter,WAS,18.3
P.J. Tucker,HOU,8.3
PJ Dozier,OKC,-5.0
Pascal Siakam,TOR,14.5
Pat Connaughton,POR,9.3
Patrick Beverley,LAC,12.3
Patrick McCaw,GSW,7.4
Patrick Patterson,OKC,10.0
Patty Mills,SAS,11.8
Pau Gasol,SAS,18.9
Paul George,OKC,18.7
Paul Millsap,DEN,17.0
Paul Zipser,CHI,5.2
Quincy Acy,BRK,8.2
Quincy Pondexter,CHI,4.0
Quinn Cook,GSW,12.8
R.J. Hunter,HOU,8.5
Rajon Rondo,NOP,15.3
Ramon Sessions,NYK,6.2
Ramon Sessions,TOT,11.2
Ramon Sessions,WAS,14.9
Rashad Vaughn,BRK,4.1
Rashad Vaughn,MIL,11.1
Rashad Vaughn,ORL,1.1
Rashad Vaughn,TOT,9.3
Raul Neto,UTA,11.9
Raymond Felton,OKC,13.0
Reggie Bullock,DET,13.6
Reggie Hearn,DET,13.1
Reggie Jackson,DET,15.9
Richard Jefferson,DEN,6.4
Richaun Holmes,PHI,17.4
Ricky Rubio,UTA,15.4
Robert Covington,PHI,12.9
Robin Lopez,CHI,14.7
Rodney Hood,CLE,12.7
Rodney Hood,TOT,14.3
Rodney Hood,UTA,15.1
Rodney McGruder,MIA,12.0
Rodney Purvis,ORL,4.5
Ron Baker,NYK,9.3
Rondae Hollis-Jefferson,BRK,16.9
Royce O'Neale,UTA,10.8
Rudy Gay,SAS,18.0
Rudy Gobert,UTA,20.7
Russell Westbrook,OKC,24.7
Ryan Anderson,HOU,12.6
Ryan Arcidiacono,CHI,7.3
Salah Mejri,DAL,17.8
Sam Dekker,LAC,11.5
Scotty Hopson,DAL,-4.6
Sean Kilpatrick,BRK,4.9
Sean Kilpatrick,CHI,17.7
Sean Kilpatrick,LAC,10.5
Sean Kilpatrick,MIL,11.3
Sean Kilpatrick,TOT,11.6
Semi Ojeleye,BOS,4.6
Serge Ibaka,TOR,14.7
Shabazz Muhammad,MIL,31.0
Shabazz Muhammad,MIN,9.3
Shabazz Muhammad,TOT,15.4
Shabazz Napier,POR,14.2
Shane Larkin,BOS,10.4
Shaquille Harrison,PHO,15.6
Shaun Livingston,GSW,11.6
Shelvin Mack,ORL,13.3
Sindarius Thornwell,LAC,8.2
Skal Labissiere,SAC,14.3
Solomon Hill,NOP,4.8
Spencer Dinwiddie,BRK,15.9
Stanley Johnson,DET,9.0
Stephen Curry,GSW,28.2
Sterling Brown,MIL,9.1
Steven Adams,OKC,20.6
T.J. Leaf,IND,10.7
T.J. McConnell,PHI,12.5
T.J. Warren,PHO,17.6
Taj Gibson,MIN,15.4
Tarik Black,HOU,14.3
Taurean Waller-Prince,ATL,12.8
Terrance Ferguson,OKC,7.4
Terrence Ross,ORL,9.9
Terry Rozier,BOS,15.1
Thabo Sefolosha,UTA,15.8
Thaddeus Young,IND,14.8
Thomas Bryant,LAL,9.9
Thon Maker,MIL,10.2
Tim Frazier,WAS,11.3
Tim Hardaway,NYK,14.4
Tim Quarterman,HOU,2.9
Timofey Mozgov,BRK,12.3
Timothe Luwawu-Cabarrot,PHI,7.0
Tobias Harris,DET,16.7
Tobias Harris,LAC,17.7
Tobias Harris,TOT,17.1
Tomas Satoransky,WAS,15.4
Tony Allen,NOP,8.7
Tony Bradley,UTA,9.5
Tony Parker,SAS,12.7
Tony Snell,MIL,8.5
Torrey Craig,DEN,9.8
Travis Wear,LAL,6.9
Treveon Graham,CHO,9.0
Trevor Ariza,HOU,11.8
Trevor Booker,BRK,15.4
Trevor Booker,IND,14.7
Trevor Booker,PHI,14.5
Trevor Booker,TOT,14.9
Trey Burke,NYK,21.0
Trey Lyles,DEN,17.9
Trey McKinney-Jones,IND,0.0
Tristan Thompson,CLE,13.6
Troy Daniels,PHO,9.8
Troy Williams,HOU,-2.4
Troy Williams,NYK,16.2
Troy Williams,TOT,15.1
Tyler Cavanaugh,ATL,13.0
Tyler Dorsey,ATL,10.0
Tyler Ennis,LAL,11.1
Tyler Johnson,MIA,13.0
Tyler Lydon,DEN,0.0
Tyler Ulis,PHO,10.1
Tyler Zeller,BRK,15.3
Tyler Zeller,MIL,17.1
Tyler Zeller,TOT,16.0
Tyreke Evans,MEM,21.1
Tyrone Wallace,LAC,10.1
Tyson Chandler,PHO,14.2
Tyus Jones,MIN,14.1
Udonis Haslem,MIA,1.8
Vander Blue,LAL,-1.8
Victor Oladipo,IND,23.1
Vince Carter,SAC,10.8
Vince Hunter,MEM,35.8
Wade Baldwin,POR,16.6
Walt Lemon Jr.,NOP,6.9
Wayne Ellington,MIA,12.5
Wayne Selden,MEM,11.8
Wesley Iwundu,ORL,7.8
Wesley Johnson,LAC,9.8
Wesley Matthews,DAL,11.4
Will Barton,DEN,16.2
Willie Cauley-Stein,SAC,17.6
Willie Reed,DET,8.8
Willie Reed,LAC,19.4
Willie Reed,TOT,19.2
Willy Hernangomez,CHO,25.0
Willy Hernangomez,NYK,16.9
Willy Hernangomez,TOT,21.2
Wilson Chandler,DEN,11.0
Xavier Munford,MIL,-2.1
Xavier Rathan-Mayes,MEM,0.9
Xavier Silas,BOS,-4.9
Yogi Ferrell,DAL,11.4
Zach Collins,POR,7.5
Zach LaVine,CHI,14.6
Zach Randolph,SAC,17.3
Zaza Pachulia,GSW,17.0
Zhou Qi,HOU,1.9
