,players,teams,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
554,Sam Dekker\dekkesa01,LAC,126,23,73,883,11.5,0.534,0.23199999999999998,0.21600000000000003,5.6,16.0,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.1,-1.0,-3.1,-0.2
555,Scotty Hopson\hopsosc01,DAL,226,28,1,8,-4.6,0.266,0.0,2.0,0.0,0.0,0.0,15.8,0.0,0.0,34.7,16.3,0.0,0.0,0.0,-0.23800000000000002,-14.7,-6.0,-20.7,0.0
556,Sean Kilpatrick\kilpase01,BRK,274,28,16,183,4.9,0.414,0.494,0.218,0.6,19.9,10.2,12.6,0.5,0.4,14.4,26.3,-0.6,0.1,-0.4,-0.11599999999999999,-7.1,-3.1,-10.2,-0.4
557,Sean Kilpatrick\kilpase01,CHI,274,28,9,214,17.7,0.574,0.449,0.299,1.4,11.5,6.3,10.5,1.4,1.3,9.0,27.1,0.2,0.1,0.4,0.083,0.8,-3.1,-2.3,0.0
558,Sean Kilpatrick\kilpase01,LAC,274,28,4,38,10.5,0.503,0.389,0.111,0.0,5.7,2.9,12.1,0.0,0.0,5.0,22.6,0.0,0.0,0.0,0.028999999999999998,-2.0,-5.9,-7.9,-0.1
559,Sean Kilpatrick\kilpase01,MIL,274,28,23,205,11.3,0.515,0.561,0.23199999999999998,0.6,13.7,7.1,10.9,1.2,0.4,9.1,21.9,0.0,0.1,0.1,0.035,-2.0,-4.2,-6.1,-0.2
560,Sean Kilpatrick\kilpase01,TOT,274,28,52,640,11.6,0.507,0.49,0.245,0.8,14.2,7.5,11.3,1.0,0.7,10.4,24.9,-0.2,0.3,0.1,0.008,-2.5,-3.6,-6.1,-0.7
561,Semi Ojeleye\ojelese01,BOS,379,23,73,1150,4.6,0.473,0.665,0.218,3.6,11.6,7.7,2.4,0.9,0.3,10.8,9.0,-0.2,1.3,1.2,0.048,-3.6,0.1,-3.5,-0.4
562,Serge Ibaka\ibakase01,TOR,233,28,76,2093,14.7,0.574,0.379,0.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,2.1,3.0,5.1,0.11699999999999999,-0.8,0.6,-0.2,1.0
563,Shabazz Muhammad\muhamsh01,MIL,358,25,11,117,31.0,0.624,0.11900000000000001,0.284,8.0,23.0,15.5,11.8,1.7,0.7,1.3,29.5,0.6,0.1,0.7,0.271,4.2,-3.7,0.5,0.1
564,Shabazz Muhammad\muhamsh01,MIN,358,25,32,301,9.3,0.446,0.157,0.256,5.7,11.6,8.6,3.4,0.8,0.6,3.6,20.5,0.0,0.1,0.0,0.008,-4.2,-4.2,-8.4,-0.5
