,players,teams,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
643,Wesley Iwundu\iwundwe01,ORL,241,23,62,1020,7.8,0.48,0.21100000000000002,0.21600000000000003,3.9,11.0,7.4,7.8,1.6,0.9,11.2,11.6,0.0,0.7,0.7,0.032,-3.7,0.2,-3.5,-0.4
644,Wesley Johnson\johnswe01,LAC,262,30,74,1486,9.8,0.512,0.48100000000000004,0.158,2.2,13.6,8.0,5.6,2.5,3.5,12.3,13.0,-0.1,1.7,1.7,0.055,-2.0,2.3,0.3,0.9
645,Wesley Matthews\matthwe02,DAL,318,31,63,2131,11.4,0.541,0.5770000000000001,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1.0,1.6,2.6,0.059000000000000004,0.2,-0.2,0.1,1.1
646,Will Barton\bartowi01,DEN,32,27,81,2683,16.2,0.562,0.41100000000000003,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.6,1.0,2.0
647,Willie Cauley-Stein\caulewi01,SAC,91,24,73,2044,17.6,0.529,0.016,0.32,7.0,22.0,14.2,13.7,1.9,3.1,11.0,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2
648,Willie Reed\reedwi02,DET,425,27,3,9,8.8,1.0,0.0,0.0,0.0,12.5,6.1,15.9,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.187,-0.3,-2.2,-2.5,0.0
649,Willie Reed\reedwi02,LAC,425,27,39,419,19.4,0.669,0.017,0.45799999999999996,9.3,22.0,15.7,3.3,1.0,4.4,11.6,16.8,1.0,0.5,1.5,0.171,-0.8,0.0,-0.8,0.1
650,Willie Reed\reedwi02,TOT,425,27,42,428,19.2,0.6709999999999999,0.017,0.455,9.1,21.8,15.5,3.6,1.0,4.3,11.6,16.6,1.0,0.5,1.5,0.172,-0.8,-0.1,-0.9,0.1
651,Willy Hernangomez\hernawi01,CHO,212,23,22,262,25.0,0.612,0.084,0.747,15.8,32.4,24.0,7.1,1.9,2.9,7.5,19.7,1.0,0.4,1.5,0.266,1.4,0.8,2.2,0.3
652,Willy Hernangomez\hernawi01,NYK,212,23,26,233,16.9,0.595,0.062,0.34600000000000003,10.5,21.3,16.0,14.3,1.7,2.6,21.8,22.4,0.1,0.3,0.3,0.069,-1.4,0.8,-0.6,0.1
653,Willy Hernangomez\hernawi01,TOT,212,23,48,495,21.2,0.604,0.073,0.5489999999999999,13.3,27.2,20.2,10.5,1.8,2.7,14.7,21.0,1.1,0.7,1.8,0.174,0.1,0.8,0.9,0.4
654,Wilson Chandler\chandwi01,DEN,95,30,74,2346,11.0,0.542,0.39,0.18100000000000002,4.9,14.1,9.6,9.5,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6
655,Xavier Munford\munfoxa02,MIL,359,25,6,21,-2.1,0.218,0.33299999999999996,0.33299999999999996,5.6,0.0,2.8,24.6,2.4,0.0,22.5,19.1,-0.1,0.0,-0.1,-0.19699999999999998,-9.4,-4.4,-13.7,-0.1
656,Xavier Rathan-Mayes\rathaxa01,MEM,422,23,5,118,0.9,0.315,0.33299999999999996,0.214,0.0,5.0,2.5,23.0,2.6,2.4,19.3,21.7,-0.5,0.1,-0.4,-0.171,-8.7,-2.0,-10.7,-0.3
657,Xavier Silas\silasxa01,BOS,449,30,2,7,-4.9,0.0,0.667,0.0,15.8,15.4,15.6,0.0,7.1,0.0,0.0,19.1,-0.1,0.0,0.0,-0.25,-12.6,-0.8,-13.4,0.0
658,Yogi Ferrell\ferreyo01,DAL,160,24,82,2282,11.4,0.54,0.49200000000000005,0.141,1.2,11.2,6.1,13.5,1.4,0.4,9.1,17.0,1.5,1.5,3.0,0.064,-0.4,-0.6,-1.0,0.6
659,Zach Collins\colliza01,POR,102,20,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3
660,Zach LaVine\lavinza01,CHI,286,22,24,656,14.6,0.499,0.34600000000000003,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.6,-2.0,-2.7,-0.1
661,Zach Randolph\randoza01,SAC,421,36,59,1508,17.3,0.529,0.193,0.14,7.0,23.7,15.0,14.9,1.4,0.6,12.5,27.6,0.3,1.2,1.5,0.048,-0.6,-1.2,-1.8,0.1
662,Zaza Pachulia\pachuza01,GSW,387,33,69,972,17.0,0.612,0.004,0.35200000000000004,11.0,25.0,18.5,15.2,1.9,1.4,19.1,17.0,1.8,1.4,3.3,0.161,-0.5,1.3,0.8,0.7
663,Zhou Qi\qizh01,HOU,417,22,18,124,1.9,0.295,0.594,0.375,5.5,14.4,10.0,2.1,0.8,9.6,21.2,16.8,-0.5,0.2,-0.3,-0.10400000000000001,-10.3,3.1,-7.2,-0.2
